Month,Exog2,Exog3,Exog4,Exog5
1955-01,2,3,F,M
1955-02,3,5,G,L
1955-03,5,6,G,L
1955-04,6,6,F,M
1955-05,6,5,F,N
1955-06,5,5,G,K
1955-07,5,6,H,N
1955-08,6,7,I,K
1955-09,7,8,D,K
1955-10,8,3,E,L
1955-11,3,4,E,N
1955-12,4,4,F,K
1956-01,4,5,D,L
1956-02,5,3,E,M
1956-03,3,4,F,L
1956-04,4,5,G,K
1956-05,5,6,F,L
1956-06,6,5,I,L
1956-07,5,8,F,L
1956-08,8,5,F,N
1956-09,5,5,F,N
1956-10,5,5,D,K
1956-11,5,3,D,K
1956-12,3,3,E,K
1957-01,3,4,E,L
1957-02,4,4,E,M
1957-03,4,4,F,N
1957-04,4,5,G,K
1957-05,5,6,H,L
1957-06,6,7,I,L
1957-07,7,8,F,K
1957-08,8,5,F,N
1957-09,5,5,E,N
1957-10,5,4,D,M
1957-11,4,3,D,K
1957-12,3,3,C,K
1958-01,3,2,E,K
1958-02,2,4,E,K
1958-03,4,4,E,K
1958-04,4,4,E,L
1958-05,4,4,E,K
1958-06,4,4,F,K
1958-07,4,5,E,K
1958-08,5,4,E,M
1958-09,4,4,E,M
1958-10,4,4,C,K
1958-11,4,2,C,L
1958-12,2,2,E,K
1959-01,2,4,F,N
1959-02,4,5,E,N
1959-03,5,4,H,M
1959-04,4,7,H,L
1959-05,7,7,G,L
1959-06,7,6,F,K
1959-07,6,5,F,M
1959-08,5,5,E,L
1959-09,5,4,C,M
1959-10,4,2,B,N
1959-11,2,1,C,K
1959-12,1,2,D,K
1960-01,2,3,E,L
1960-02,3,4,E,L
1960-03,4,4,F,L
1960-04,4,5,F,L
1960-05,5,5,F,N
1960-06,5,5,F,M
1960-07,5,5,D,M
1960-08,5,3,C,M
1960-09,3,2,C,M
1960-10,2,2,C,M
1960-11,2,2,C,N
1960-12,2,2,C,M
1961-01,2,2,D,K
1961-02,2,3,C,K
1961-03,3,2,E,K
1961-04,2,4,E,N
1961-05,4,4,E,N
1961-06,4,4,D,M
1961-07,4,3,D,M
1961-08,3,3,C,M
1961-09,3,2,C,L
1961-10,2,2,C,M
1961-11,2,2,B,K
1961-12,2,1,C,N
1962-01,1,2,E,N
1962-02,2,4,D,K
1962-03,4,3,D,L
1962-04,3,3,E,K
1962-05,3,4,F,L
1962-06,4,5,E,M
1962-07,5,4,F,M
1962-08,4,5,C,L
1962-09,5,2,C,N
1962-10,2,2,B,M
1962-11,2,1,D,N
1962-12,1,3,C,N
1963-01,3,2,D,N
1963-02,2,3,D,L
1963-03,3,3,D,K
1963-04,3,3,F,K
1963-05,3,5,E,N
1963-06,5,4,E,M
1963-07,4,4,D,M
1963-08,4,3,C,L
1963-09,3,2,C,M
1963-10,2,2,B,M
1963-11,2,1,C,N
1963-12,1,2,C,N
1964-01,2,2,D,K
1964-02,2,3,D,L
1964-03,3,3,E,L
1964-04,3,4,F,K
1964-05,4,5,F,K
1964-06,5,5,E,M
1964-07,5,4,E,L
1964-08,4,4,C,M
1964-09,4,2,B,M
1964-10,2,1,C,M
1964-11,1,2,C,K
1964-12,2,2,C,N
1965-01,2,2,E,K
1965-02,2,4,D,K
1965-03,4,3,E,L
1965-04,3,4,E,K
1965-05,4,4,F,M
1965-06,4,5,E,N
1965-07,5,4,G,L
1965-08,4,6,D,L
1965-09,6,3,B,L
1965-10,3,1,B,N
1965-11,1,1,B,K
1965-12,1,1,D,N
1966-01,1,3,E,L
1966-02,3,4,D,L
1966-03,4,3,F,L
1966-04,3,5,F,L
1966-05,5,5,F,K
1966-06,5,5,F,M
1966-07,5,5,E,L
1966-08,5,4,C,L
1966-09,4,2,B,M
1966-10,2,1,B,M
1966-11,1,1,C,L
1966-12,1,2,C,N
1967-01,2,2,B,N
1967-02,2,1,D,K
1967-03,1,3,D,L
1967-04,3,3,E,N
1967-05,3,4,F,L
1967-06,4,5,D,N
1967-07,5,3,F,L
1967-08,3,5,D,M
1967-09,5,3,B,M
1967-10,3,1,C,M
1967-11,1,2,C,N
1967-12,2,2,C,N
1968-01,2,2,D,N
1968-02,2,3,D,K
1968-03,3,3,D,K
1968-04,3,3,E,K
1968-05,3,4,E,N
1968-06,4,4,E,N
1968-07,4,4,D,L
1968-08,4,3,D,M
1968-09,3,3,B,L
1968-10,3,1,C,M
1968-11,1,2,B,N
1968-12,2,1,C,K
1969-01,1,2,D,N
1969-02,2,3,E,N
1969-03,3,4,D,L
1969-04,4,3,D,N
1969-05,3,3,F,N
1969-06,3,5,D,M
1969-07,5,3,D,M
1969-08,3,3,C,L
1969-09,3,2,C,M
1969-10,2,2,B,M
1969-11,2,1,C,N
1969-12,1,2,C,N
1970-01,2,2,D,N
1970-02,2,3,D,N
1970-03,3,3,D,K
1970-04,3,3,D,K
1970-05,3,3,E,M
1970-06,3,4,E,L
1970-07,4,4,C,L
1970-08,4,2,B,L
1970-09,2,1,B,M
1970-10,1,1,B,M
1970-11,1,1,C,N
1970-12,1,2,C,M
1971-01,2,2,D,N
1971-02,2,3,C,N
1971-03,3,2,D,N
1971-04,2,3,D,M
1971-05,3,3,D,M
1971-06,3,3,C,L
1971-07,3,2,C,L
1971-08,2,2,B,L
1971-09,2,1,B,M
1971-10,1,1,B,N
1971-11,1,1,C,N
1971-12,1,2,D,N
1972-01,2,3,D,N
1972-02,3,3,D,K
1972-03,3,3,D,N
1972-04,3,3,E,N
1972-05,3,4,D,M
1972-06,4,3,D,L
1972-07,3,3,C,L
1972-08,3,2,B,K
1972-09,2,1,B,K
1972-10,1,1,A,K
1972-11,1,0,A,K
1972-12,0,0,A,K
