N   1	6	4936.99	4936.99	4936.99	4936.99	4936.99	4936.99												
N   2	6	4230	4230	4230	4230	4230	4230												
N   3	6	3525.2	3525.2	3525.2	3525.2	3525.2	3525.2												
N   4	6	4632.3	4632.3	4632.3	4632.3	4632.3	4632.3												
N   5	6	5488.8	5488.8	5488.8	5488.8	5488.8	5488.8												
N   6	6	4094.63	4094.63	4094.63	4094.63	4094.63	4094.63												
N   7	6	5128.51	5128.51	5128.51	5128.51	5128.51	5128.51												
N   8	6	8288.37	8288.37	8288.37	8288.37	8288.37	8288.37												
N   9	6	5132.45	5132.45	5132.45	5132.45	5132.45	5132.45												
N  10	6	9551	9551	9551	9551	9551	9551												
N  11	6	4941.4	4941.4	4941.4	4941.4	4941.4	4941.4												
N  12	6	4915.5	4915.5	4915.5	4915.5	4915.5	4915.5												
N  13	6	5968.1	5968.1	5968.1	5968.1	5968.1	5968.1												
N  14	6	3871	3871	3871	3871	3871	3871												
N  15	6	5290.5	5290.5	5290.5	5290.5	5290.5	5290.5												
N  16	6	5875.89	5875.89	5875.89	5875.89	5875.89	5875.89												
N  17	6	5973.15	5973.15	5973.15	5973.15	5973.15	5973.15												
N  18	6	9045.38	9045.38	9045.38	9045.38	9045.38	9045.38												
N  19	6	5613.33	5613.33	5613.33	5613.33	5613.33	5613.33												
N  20	6	9902	9902	9902	9902	9902	9902												
N  21	6	9043.9	9043.9	9043.9	9043.9	9043.9	9043.9												
N  22	6	5002.05	5002.05	5002.05	5002.05	5002.05	5002.05												
N  23	6	3358.2	3358.2	3358.2	3358.2	3358.2	3358.2												
N  24	6	6049.41	6049.41	6049.41	6049.41	6049.41	6049.41												
N  25	6	4863.74	4863.74	4863.74	4863.74	4863.74	4863.74												
N  26	6	8529	8529	8529	8529	8529	8529												
N  27	6	3205.44	3205.44	3205.44	3205.44	3205.44	3205.44												
N  28	6	11467	11467	11467	11467	11467	11467												
N  29	6	3823	3823	3823	3823	3823	3823												
N  30	6	5500.53	5500.53	5500.53	5500.53	5500.53	5500.53												
N  31	6	6798.39	6798.39	6798.39	6798.39	6798.39	6798.39												
N  32	6	5360.6	5360.6	5360.6	5360.6	5360.6	5360.6												
N  33	6	3976.18	3976.18	3976.18	3976.18	3976.18	3976.18												
N  34	6	7826.13	7826.13	7826.13	7826.13	7826.13	7826.13												
N  35	6	3525.2	3525.2	3525.2	3525.2	3525.2	3525.2												
N  36	6	2960.4	2960.4	2960.4	2960.4	2960.4	2960.4												
N  37	6	1813.79	1813.79	1813.79	1813.79	1813.79	1813.79												
N  38	6	7745.8	7745.8	7745.8	7745.8	7745.8	7745.8												
N  39	6	3164	3164	3164	3164	3164	3164												
N  40	6	2433.18	2433.18	2433.18	2433.18	2433.18	2433.18												
N  41	6	5088.46	5088.46	5088.46	5088.46	5088.46	5088.46												
N  42	6	3787.5	3787.5	3787.5	3787.5	3787.5	3787.5												
N  43	6	7537.29	7537.29	7537.29	7537.29	7537.29	7537.29												
N  44	6	4660.8	4660.8	4660.8	4660.8	4660.8	4660.8												
N  45	6	5128.11	5128.11	5128.11	5128.11	5128.11	5128.11												
N  46	6	5345.25	5345.25	5345.25	5345.25	5345.25	5345.25												
N  47	6	4254	4254	4254	4254	4254	4254												
N  48	6	4134.82	4134.82	4134.82	4134.82	4134.82	4134.82												
N  49	6	5946.81	5946.81	5946.81	5946.81	5946.81	5946.81												
N  50	6	5235.6	5235.6	5235.6	5235.6	5235.6	5235.6												
N  51	6	5039.2	5039.2	5039.2	5039.2	5039.2	5039.2												
N  52	6	5959.47	5959.47	5959.47	5959.47	5959.47	5959.47												
N  53	6	7624.5	7624.5	7624.5	7624.5	7624.5	7624.5												
N  54	6	6299.7	6299.7	6299.7	6299.7	6299.7	6299.7												
N  55	6	3128.9	3128.9	3128.9	3128.9	3128.9	3128.9												
N  56	6	5378.14	5378.14	5378.14	5378.14	5378.14	5378.14												
N  57	6	3740.15	3740.15	3740.15	3740.15	3740.15	3740.15												
N  58	6	4304.6	4304.6	4304.6	4304.6	4304.6	4304.6												
N  59	6	4700	4700	4700	4700	4700	4700												
N  60	6	6565.7	6565.7	6565.7	6565.7	6565.7	6565.7												
N  61	6	7592	7592	7592	7592	7592	7592												
