NN3_101	NN3_102	NN3_103	NN3_104	NN3_105	NN3_106	NN3_107	NN3_108	NN3_109	NN3_110	NN3_111
4998 	5033 	5304 	685 	5007 	4950 	4318 	1740 	6318 	2605 	3140 
4480 	4510 	4264 	656 	5165 	4900 	4224 	1005 	5991 	2510 	3270 
4824 	3970 	3224 	1288 	4976 	5500 	4014 	1793 	6405 	3520 	3690 
4814 	3378 	2400 	3914 	4984 	5550 	3620 	1965 	6230 	3200 	4360 
4602 	2866 	1968 	6837 	5105 	5900 	3512 	2085 	6111 	2550 	3520 
4499 	2316 	1532 	7104 	5026 	5150 	3590 	2440 	5317 	2640 	4140 
4594 	1895 	1000 	7464 	4848 	5700 	3700 	2318 	4893 	2280 	3440 
4600 	8402 	55024 	6308 	4963 	6450 	3752 	2313 	4867 	2620 	3750 
4507 	8040 	53804 	5549 	4796 	4800 	3866 	2668 	4785 	1940 	4140 
4606 	7534 	42540 	6365 	5042 	6300 	3892 	3655 	5099 	1415 	5610 
4503 	7136 	26572 	6344 	5028 	5700 	3838 	2245 	5142 	1775 	5350 
4801 	6467 	15748 	5597 	4668 	4900 	3936 	3000 	5335 	2320 	4270 
4564 	5662 	10372 	1178 	4646 	4900 	4200 	2795 	5450 	2585 	3160 
4142 	4896 	8980 	1581 	4912 	5500 	4184 	3493 	5161 	2885 	2560 
4818 	4065 	7212 	1870 	5041 	5550 	3708 	3098 	5516 	2870 	3410 
4408 	3296 	7504 	5230 	5101 	5200 	3708 	3665 	4850 	3010 	3670 
4496 	2594 	3848 	8046 	5143 	5500 	3760 	6555 	4250 	2710 	3670 
4587 	2007 	2684 	7997 	4998 	4950 	3708 	3040 	4451 	3070 	3200 
4656 	1514 	1000 	9216 	5053 	5900 	3846 	8878 	5442 	2050 	3700 
4799 	6645 	43560 	8077 	5024 	5700 	3748 	3280 	5426 	2315 	3430 
4652 	6222 	40320 	6021 	5299 	5300 	3836 	3203 	5329 	2140 	4130 
4638 	5474 	28096 	6399 	4947 	5550 	3790 	4593 	5150 	1950 	4870 
4650 	5136 	17804 	6857 	4872 	4600 	3968 	2600 	5030 	3150 	6310 
5185 	4631 	10008 	3446 	4563 	5650 	3756 	4803 	4833 	4510 	4680 
5208 	4164 	6136 	1544 	4580 	4950 	3760 	3685 	4437 	3685 	2380 
4477 	3601 	4216 	2031 	4909 	4850 	3986 	3688 	4334 	5125 	3430 
4976 	2969 	2424 	2561 	5002 	5050 	4096 	2615 	4165 	5750 	2950 
4670 	2504 	1840 	5166 	5127 	5500 	4194 	3070 	3704 	4580 	3130 
4842 	2055 	1112 	7470 	5060 	5300 	4254 	2598 	3616 	4555 	3650 
4713 	1609 	324 	6849 	4947 	5250 	4130 	2618 	3476 	3430 	2980 
4804 	1298 	100 	6968 	4810 	6100 	4044 	2500 	3118 	2700 	3720 
