NN3_101	NN3_102	NN3_103	NN3_104	NN3_105	NN3_106	NN3_107	NN3_108	NN3_109	NN3_110	NN3_111
4996 	8485 	58676 	7253 	4589 	5200 	3766 	2685 	3056 	2010 	2960 
4574 	8164 	54768 	6413 	4408 	6400 	3930 	2500 	2922 	1965 	4300 
4841 	7814 	43624 	5854 	4558 	5700 	3910 	3693 	2755 	1185 	5550 
4688 	7454 	28680 	5710 	4509 	5000 	4024 	1178 	2691 	2180 	4380 
4766 	6889 	15008 	4926 	4331 	5400 	4158 	2923 	2586 	2705 	3620 
4994 	6284 	9028 	1300 	4770 	4250 	4018 	2788 	2810 	3345 	3350 
4514 	5712 	7240 	2200 	4926 	4950 	3836 	2090 	2740 	11760 	3300 
4766 	5030 	4884 	2782 	4679 	5750 	3764 	2735 	2565 	3665 	3800 
4642 	4488 	3812 	4708 	4775 	4600 	3684 	2855 	3204 	2490 	3420 
4806 	4059 	3696 	6792 	4707 	4450 	3668 	3225 	3149 	2290 	3860 
4645 	3585 	2912 	6193 	4609 	5400 	3770 	2218 	2732 	1600 	2900 
4784 	3200 	1200 	5647 	4644 	4600 	3888 	2060 	3267 	1320 	3240 
4979 	8181 	42468 	4317 	4641 	5400 	3808 	1965 	3250 	4950 	3150 
4530 	8220 	41900 	4628 	4436 	4850 	3794 	1755 	3194 	1305 	4460 
4942 	7866 	30180 	4658 	4574 	4100 	3646 	2465 	3304 	1310 	5040 
4651 	7517 	16836 	4552 	4503 	4650 	3712 	2433 	3332 	2390 	4660 
5150 	7116 	9732 	4349 	4292 	4700 	3848 	2465 	3458 	3685 	3450 
4987 	6616 	5728 	1642 	4479 	3900 	4064 	2385 	3787 	3265 	2660 
4532 	6217 	5728 	1069 	3930 	4200 	4156 	2458 	3588 	3770 	2400 
5046 	5700 	3584 	2244 	3860 	5050 	3724 	2038 	3839 	4365 	2200 
4783 	5179 	3068 	4551 	4065 	4250 	3520 	2538 	4177 	3380 	3020 
4958 	4728 	2992 	5242 	3741 	4900 	3796 	2165 	4097 	2420 	3450 
4815 	4225 	1092 	6225 	3651 	5250 	3956 	4390 	3561 	2490 	4110 
5055 	3781 	600 	6175 	3653 	4250 	3840 	3045 	3636 	1980 	2760 
5152 	7024 	28268 	6090 	3532 	5700 	3794 	2283 	3618 	1710 	3390 
4773 	6558 	26652 	6431 	3607 	4950 	3970 	2838 	3555 	1755 	3740 
5147 	6258 	19068 	6769 	3778 	4200 	3740 	3463 	3315 	1465 	4830 
4866 	5863 	10024 	6393 	4019 	4450 	3860 	2410 	3344 	1910 	4450 
5311 	5343 	4636 	6704 	3884 	4850 	3928 	3358 	3470 	1885 	3140 
5172 	4756 	4888 	4632 	3850 	5600 	4260 	3678 	3461 	2190 	4700 
4734 	4174 	5100 	2757 	4042 	5150 	4180 	2383 	3280 	1840 	2330 
5011 	3452 	4664 	2999 	4216 	5650 	4144 	3128 	3508 	2435 	2740 
4957 	2849 	3848 	6150 	4117 	4850 	4058 	2885 	3849 	3060 	2480 
4968 	2351 	3772 	6780 	4232 	6000 	3954 	4093 	3776 	2320 	2690 
5049 	1888 	2964 	6785 	4212 	5200 	3890 	7223 	3281 	4155 	5850 
5305 	1417 	1200 	7229 	4066 	5400 	3816 	3398 	3434 	2045 	2450 
5067 	7399 	50368 	7243 	4148 	5500 	3800 	3900 	3417 	1915 	3720 
5001 	7013 	47796 	6907 	4060 	4700 	3868 	3085 	3358 	1610 	2780 
5252 	6645 	38376 	6673 	4192 	4900 	3682 	2343 	3163 	1305 	5690 
4903 	6239 	17728 	6348 	4249 	4550 	3804 	4533 	3190 	2205 	4150 
5408 	5721 	12832 	7166 	3991 	4500 	3822 	3503 	3311 	3160 	4460 
5395 	5138 	7768 	4162 	4101 	4950 	4062 	3193 	3505 	3315 	2730 
5150 	4357 	5192 	3295 	4216 	4550 	4102 	3350 	3322 	3595 	3580 
5460 	3751 	3896 	3903 	4302 	5350 	3928 	3495 	3553 	4480 	2870 
4968 	3324 	4128 	5996 	4253 	4900 	3842 	4488 	3599 	3615 	4210 
5021 	2861 	3716 	7331 	4269 	5050 	3816 	2868 	3531 	3035 	4500 
5118 	2456 	2500 	6850 	4193 	5150 	3534 	4093 	3069 	2110 	3560 
5175 	2028 	1700 	7178 	4102 	5300 	3624 	2878 	2589 	1825 	3800 
5420 	8389 	5304 	7342 	4250 	5350 	3708 	3543 	2576 	2260 	3260 
5121 	7910 	45856 	6699 	4134 	4950 	3692 	5508 	2532 	1320 	3410 
5450 	7686 	34592 	6642 	4288 	5150 	3646 	3005 	2519 	1460 	3860 
5286 	7163 	19172 	6176 	4384 	4800 	3716 	2775 	2541 	2420 	5000 
5693 	6842 	9496 	5580 	4193 	4700 	3840 	2388 	2637 	3145 	3840 
5353 	6449 	5960 	3401 	4057 	4450 	4154 	3008 	2641 	3965 	3210 
5017 	6061 	4500 	2508 	4235 	4250 	4118 	3913 	2502 	3830 	2930 
5577 	5739 	7560 	3128 	4420 	4900 	3824 	3383 	2677 	3125 	3630 
4987 	5363 	3608 	5936 	4462 	4850 	3804 	4130 	3294 	2720 	2760 
5129 	5081 	2948 	7095 	4464 	4850 	3706 	3433 	3232 	2130 	3310 
5249 	4764 	3148 	7490 	4330 	5300 	3602 	3833 	2809 	1765 	4320 
5100 	4523 	600 	8205 	4413 	5600 	3842 	4375 	3263 	1260 	3010 
5382 	9057 	4196 	8163 	4323 	6150 	3676 	2413 	3246 	965 	3440 
5039 	8352 	32476 	7080 	4215 	5500 	3750 	2760 	3190 	935 	5100 
5364 	7683 	21144 	7521 	4453 	5550 	3696 	4285 	3295 	1035 	4170 
5193 	7320 	15652 	6923 	4484 	4300 	3742 	3305 	3323 	1115 	4540 
5846 	6708 	10160 	6347 	4230 	4800 	3582 	5885 	3449 	935 	3410 
5259 	6205 	7308 	3169 	4229 	4650 	3966 	3490 	3462 	1980 	2590 
4809 	5577 	5568 	1802 	4363 	4500 	4060 	2945 	3294 	900 	2640 
5297 	4777 	3724 	2574 	4442 	4650 	3748 	2595 	3592 	880 	2970 
5034 	4280 	4064 	5016 	4452 	4800 	3720 	2863 	3505 	815 	3000 
5243 	3918 	5024 	6280 	4455 	5000 	3604 	2170 	3682 	380 	2900 
5150 	3289 	4388 	6520 	4355 	5200 	3548 	2098 	3350 	275 	3010 
5296 	2394 	1200 	6658 	4409 	5500 	3626 	2383 	3601 	105 	3380 
5596 	8132 	49504 	6513 	4387 	5500 	3484 	5468 	3414 	1305 	3060 
4954 	8121 	43196 	6964 	4350 	5950 	3792 	3538 	3457 	1730 	3100 
5250 	7791 	30608 	6508 	4448 	5500 	3638 	3440 	3545 	1570 	3940 
5009 	7412 	19300 	5969 	4492 	4800 	3574 	3458 	3399 	2645 	5360 
5113 	6861 	10100 	6134 	4205 	5300 	3648 	2963 	3564 	15745 	3280 
5237 	6197 	5880 	2851 	4370 	5000 	3750 	2943 	3568 	2145 	3190 
4575 	5623 	5248 	2122 	4489 	4950 	3610 	2833 	3295 	2495 	4950 
5026 	4856 	3812 	2791 	4516 	5250 	3462 	2970 	3722 	2975 	2910 
4842 	4304 	3164 	5516 	4537 	4900 	3418 	3075 	3613 	2645 	2820 
5019 	3854 	3872 	6887 	4441 	5300 	3478 	2490 	3525 	2560 	3050 
5063 	3284 	3044 	7446 	4447 	5750 	3574 	3298 	3368 	2110 	2930 
5261 	2862 	1200 	7158 	4477 	5400 	3466 	2538 	3527 	2000 	2800 
5327 	9487 	55896 	6658 	4368 	5750 	3468 	3438 	3336 	1975 	3220 
5054 	9061 	49948 	6423 	4396 	5100 	3586 	3558 	3320 	1475 	3120 
5269 	8878 	35900 	6351 	4528 	4550 	3366 	4388 	3599 	1730 	4000 
5019 	8558 	19352 	5735 	4554 	4650 	3500 	1950 	3301 	2900 	4840 
5315 	8031 	7828 	5820 	4316 	5000 	3666 	2818 	3195 	3405 	2630 
5274 	7405 	4324 	2966 	4482 	4350 	3858 	2423 	3354 	3130 	2920 
4899 	6853 	4104 	2089 	4719 	4250 	3842 	3538 	3025 	3490 	2350 
5216 	6175 	3972 	2892 	4855 	5200 	3668 	4465 	3369 	3675 	2850 
5029 	5342 	2828 	5992 	4820 	4600 	3700 	4835 	3357 	2705 	2700 
5110 	4976 	4304 	6718 	4704 	4800 	3748 	2595 	3501 	2440 	2870 
5093 	4290 	4876 	9275 	4608 	5100 	3790 	3910 	3331 	2615 	2580 
5314 	3493 	1800 	7163 	4544 	4950 	3640 	5638 	3275 	1515 	2450 
5248 	8691 	47228 	6915 	4451 	5400 	3364 	3673 	3397 	1245 	2950 
5063 	8098 	44588 	6919 	4349 	5150 	3400 	3870 	3276 	1245 	3350 
5409 	7579 	28908 	5870 	4410 	5250 	3374 	5748 	3450 	1120 	4450 
5127 	6959 	11260 	6316 	4564 	5200 	3564 	3363 	3351 	1895 	4210 
5558 	6402 	5828 	6036 	4406 	4700 	3582 	4505 	3139 	3160 	2650 
5116 	5645 	4416 	3021 	4521 	5150 	3940 	4520 	3031 	2240 	2414 
4922 	4947 	4612 		4858 	4600 	4034 	4888 	2566 	3420 	2823 
5503 	4017 	3084 		4973 	4950 	3776 		2985 	3095 	2444 
5039 	3488 	3372 		4895 	4700 	3694 		2675 	3050 	2666 
5116 	2889 	3516 		4815 	5150 	3742 		2710 	3360 	3052 
5109 	2169 	1940 		4622 	5100 	3700 		2690 	1165 	2397 
5334 	1614 	1476 		4530 	5300 	3550 		2929 	4250 	2463 
5324 	7987 	54960 		4541 	5600 	3338 		2916 	2400 	3385 
5313 	7257 	46128 		4433 	5000 	3428 		2932 	2330 	3290 
5341 	6928 	28840 		4507 	5350 	3510 			2475 	5408 
5306 	6587 	14916 		4665 	4800 	3652 			2480 	4000 
5545 	5989 	6088 		4591 	4650 	3750 			3250 	2513 
