,row_number,Date,Date_Normalized,RelDiff_Ozone,Ozone,RelDiff_Ozone_ConstantTrend_residue,RelDiff_Ozone_ConstantTrend_residue_zeroCycle,RelDiff_Ozone_ConstantTrend_residue_zeroCycle_residue,RelDiff_Ozone_ConstantTrend_residue_bestCycle_byL2,RelDiff_Ozone_ConstantTrend_residue_bestCycle_byL2_residue,RelDiff_Ozone_ConstantTrend_residue_Seasonal_MonthOfYear,RelDiff_Ozone_ConstantTrend_residue_Seasonal_MonthOfYear_residue,RelDiff_Ozone_Lag1Trend_residue,RelDiff_Ozone_Lag1Trend_residue_zeroCycle,RelDiff_Ozone_Lag1Trend_residue_zeroCycle_residue,RelDiff_Ozone_Lag1Trend_residue_bestCycle_byL2,RelDiff_Ozone_Lag1Trend_residue_bestCycle_byL2_residue,RelDiff_Ozone_Lag1Trend_residue_Seasonal_MonthOfYear,RelDiff_Ozone_Lag1Trend_residue_Seasonal_MonthOfYear_residue,RelDiff_Ozone_LinearTrend_residue,RelDiff_Ozone_LinearTrend_residue_zeroCycle,RelDiff_Ozone_LinearTrend_residue_zeroCycle_residue,RelDiff_Ozone_LinearTrend_residue_bestCycle_byL2,RelDiff_Ozone_LinearTrend_residue_bestCycle_byL2_residue,RelDiff_Ozone_LinearTrend_residue_Seasonal_MonthOfYear,RelDiff_Ozone_LinearTrend_residue_Seasonal_MonthOfYear_residue,RelDiff_Ozone_PolyTrend_residue,RelDiff_Ozone_PolyTrend_residue_zeroCycle,RelDiff_Ozone_PolyTrend_residue_zeroCycle_residue,RelDiff_Ozone_PolyTrend_residue_bestCycle_byL2,RelDiff_Ozone_PolyTrend_residue_bestCycle_byL2_residue,RelDiff_Ozone_PolyTrend_residue_Seasonal_MonthOfYear,RelDiff_Ozone_PolyTrend_residue_Seasonal_MonthOfYear_residue,Exog2,Exog3,Exog4=E,Exog4=F,Exog4=C,Exog4=D,Exog4=B,Exog5=K,Exog5=L,Exog5=M,Exog5=N
0,0,1955-01-01,0.0,0.0,2.7,-0.007256161681490011,0.0,-0.007256161681490011,-0.045453228768752976,0.03819706708726296,-0.045453228768752976,0.03819706708726296,0.0,0.0,0.0,-0.0028182933128058857,0.0028182933128058857,0.04175883081131097,-0.04175883081131097,-0.008518651823628287,0.0,-0.008518651823628287,-0.04549964746844742,0.03698099564481913,-0.04549964746844742,0.03698099564481913,-0.013496869241759442,0.0,-0.013496869241759442,-0.04563474448641186,0.03213787524465242,-0.04563474448641186,0.03213787524465242,-1.034795132531842,-0.40016772880261053,0,1,0,0,0,0,0,1,0
1,1,1955-02-01,0.006288032454361055,-0.0777777777777778,2.0,-0.08503393945926782,0.0,-0.08503393945926782,0.023765586344338414,-0.10879952580360623,0.023765586344338414,-0.10879952580360623,-0.0777777777777778,0.0,-0.0777777777777778,-0.020460997427317794,-0.05731678035046001,0.06921881511309139,-0.1469965928908692,-0.08628055141596067,0.0,-0.08628055141596067,0.023735045830089403,-0.11001559724605006,0.023735045830089403,-0.11001559724605006,-0.09108770825742679,0.0,-0.09108770825742679,0.023579166463807227,-0.11466687472123402,0.023579166463807227,-0.11466687472123402,-0.39101037450630677,0.8914627621840334,0,0,0,0,0,0,1,0,0
2,2,1955-03-01,0.011967545638945233,0.19277108433734944,3.6,0.18551492265585942,0.0,0.18551492265585942,0.06754400305251901,0.11797091960334041,0.06754400305251901,0.11797091960334041,0.27054886211512724,0.0,0.27054886211512724,0.0404510200973577,0.23009784201776953,0.043778416708180605,0.22677044540694663,0.1842826522860205,0.0,0.1842826522860205,0.06752795046784694,0.11675470181817356,0.06752795046784694,0.11675470181817356,0.17962936807925367,0.0,0.17962936807925367,0.06734994977255175,0.11227941830670192,0.06734994977255175,0.11227941830670192,0.8965591415447639,1.5372780076773553,0,0,0,0,0,0,1,0,0
3,3,1955-04-01,0.018255578093306288,0.14141414141414138,5.0,0.13415797973265137,0.0,0.13415797973265137,0.05609541716186204,0.07806256257078933,0.05609541716186204,0.07806256257078933,-0.051356942923208054,0.0,-0.051356942923208054,-0.014100352048790484,-0.03725659087441757,-0.011448585890656988,-0.039908357032551064,0.13294158754825788,0.0,0.13294158754825788,0.05609524276263538,0.0768463447856225,0.05609524276263538,0.0768463447856225,0.12845792976663453,0.0,0.12845792976663453,0.055890090000889674,0.07256783976574485,0.055890090000889674,0.07256783976574485,1.5403438995702992,1.5372780076773553,0,1,0,0,0,0,0,1,0
4,4,1955-05-01,0.02434077079107505,0.13274336283185845,6.5,0.12548720115036843,0.0,0.12548720115036843,0.010035803389079456,0.11545139776128897,0.010035803389079456,0.11545139776128897,-0.008670778582282934,0.0,-0.008670778582282934,0.0008562918634286236,-0.009527070445711558,-0.04605961377278256,0.037388835190499625,0.12428617495188989,0.0,0.12428617495188989,0.010050994975767743,0.11423517997612215,0.010050994975767743,0.11423517997612215,0.11996590816383795,0.0,0.11996590816383795,0.009816349395558666,0.11014955876827928,0.009816349395558666,0.11014955876827928,1.5403438995702992,0.8914627621840334,0,1,0,0,0,0,0,0,1
5,5,1955-06-01,0.030628803245436105,-0.03125000000000007,6.1,-0.038506161681490084,0.0,-0.038506161681490084,0.07584992933910008,-0.11435609102059016,0.07584992933910008,-0.11435609102059016,-0.1639933628318585,0.0,-0.1639933628318585,-0.0028182933128058857,-0.1611750695190526,0.06581412595002063,-0.22980748878187912,-0.0396913096945232,0.0,-0.0396913096945232,0.07588099911123379,-0.11557230880575699,0.07588099911123379,-0.11557230880575699,-0.0438435609243647,0.0,-0.0438435609243647,0.07561252103595725,-0.11945608196032195,0.07561252103595725,-0.11945608196032195,0.8965591415447639,0.8914627621840334,0,0,0,0,0,1,0,0,0
6,6,1955-07-01,0.03671399594320487,-0.01612903225806442,5.9,-0.02338519393955443,0.0,-0.02338519393955443,0.0459636826257663,-0.06934887656532072,0.0459636826257663,-0.06934887656532072,0.01512096774193565,0.0,0.01512096774193565,-0.020460997427317794,0.035581965169253445,-0.029886246713333786,0.04500721445526944,-0.024554975966672617,0.0,-0.024554975966672617,0.046010118383814955,-0.07056509435048758,0.046010118383814955,-0.07056509435048758,-0.02854545812341379,0.0,-0.02854545812341379,0.0457056195421679,-0.07425107766558169,0.0457056195421679,-0.07425107766558169,0.8965591415447639,1.5372780076773553,0,0,0,0,0,0,0,0,1
7,7,1955-08-01,0.04300202839756592,-0.07377049180327874,5.0,-0.08102665348476876,0.0,-0.08102665348476876,-0.010896649277893421,-0.07013000420687533,-0.010896649277893421,-0.07013000420687533,-0.057641459545214324,0.0,-0.057641459545214324,0.0404510200973577,-0.09809247964257203,-0.04996515509212999,-0.007676304453084336,-0.08218055732644151,0.0,-0.08218055732644151,-0.010927890548642943,-0.07125266677779857,-0.010927890548642943,-0.07125266677779857,-0.0860047650270128,0.0,-0.0860047650270128,-0.010565345129487239,-0.07543941989752556,-0.010565345129487239,-0.07543941989752556,1.5403438995702992,2.1830932531706773,0,0,0,0,0,1,0,0,0
8,8,1955-09-01,0.04929006085192698,0.12389380530973457,6.4,0.11663764362824455,0.0,0.11663764362824455,0.003336386023311113,0.11330125760493344,0.003336386023311113,0.11330125760493344,0.1976642971130133,0.0,0.1976642971130133,-0.014100352048790484,0.2117646491618038,0.014233035301204537,0.18343126181180877,0.11549961797201723,0.0,0.11549961797201723,0.003321022938007029,0.1121785950340102,0.003321022938007029,0.1121785950340102,0.11184074999522615,0.0,0.11184074999522615,0.003664872223649497,0.10817587777157665,0.003664872223649497,0.10817587777157665,2.1841286575958345,2.8289084986639996,0,0,0,1,0,1,0,0,0
9,9,1955-10-01,0.05537525354969574,0.07874015748031495,7.4,0.07148399579882493,0.0,0.07148399579882493,-0.031628582947411395,0.10311257874623633,-0.031628582947411395,0.10311257874623633,-0.04515364782941962,0.0,-0.04515364782941962,0.0008562918634286236,-0.046009939692848244,-0.03496496897072251,-0.010188678858697113,0.07036133612851253,0.0,0.07036133612851253,-0.03162858004680055,0.10198991617531308,-0.03162858004680055,0.10198991617531308,0.06686155266561734,0.0,0.06686155266561734,-0.0313060097843529,0.09816756244997024,-0.0313060097843529,0.09816756244997024,2.8279134156213694,-0.40016772880261053,1,0,0,0,0,0,1,0,0
